date,ticker,price
2024-01-01,AAPL,148.3962854428221
2024-01-02,AAPL,147.3949276865166
2024-01-03,AAPL,146.89674786330798
2024-01-04,AAPL,148.21602320870346
2024-01-05,AAPL,147.29064216878547
2024-01-06,AAPL,146.9215646294415
2024-01-07,AAPL,145.9967585410003
2024-01-08,AAPL,145.2037393989795
2024-01-09,AAPL,146.3154993666907
2024-01-10,AAPL,148.05347140923064
2024-01-11,AAPL,147.95290273812836
2024-01-12,AAPL,148.182222395091
2024-01-13,AAPL,149.84681992375397
2024-01-14,AAPL,150.43862476484534
2024-01-15,AAPL,150.9945752899429
2024-01-16,AAPL,152.00823859593396
2024-01-17,AAPL,152.6924676565324
2024-01-18,AAPL,152.2644122731588
2024-01-19,AAPL,151.56666133853585
2024-01-20,AAPL,152.13478227332
